id,created_at,user_id,content,attachment_base,attachment_extension,title,name
40878885,1627915758,1gTk6LZ,"<font color=""#789922"">&gt;&gt;No.40878593</font><br />
这个思路可行嗷",,,,
40879315,1627916414,rEEhHvf,"想了想，这一波冲动了，我们应该先发展组织的（血神的献祭要求不低），以秘密组织。<br />
不过目前我们的主要任务是把这个事处理好，然后搞清楚怎么献祭<br />
<br />
出于目前灌铅骰子十分充足的情况，所以我们应该把这个老奶奶洗脑了，让她帮忙隐瞒这个事情并等待“组织”的命令<br />
然后我们只是干掉了一个走私商人，应该是可以遮掩的（其实这里也冲动了，应该保留下来作为一个渠道的），搜刮之后让法克西吃了然后回到血中。<br />
<br />
我们最大的外挂就是血神的注视，我认为我们可以试试渗透（传教）这个城市，从酒馆做起，然后阴了神父<br />
<br />
至于怎么做嘛…当然是血神的注视啦( ﾟωﾟ)",,,,
40879476,1627916648,rEEhHvf,"我们现在稳一点，也激进一点，尽量不主动杀人，没有势力一不小心就凉了<br />
<br />
但也要激进一些，比如我们就可以向巴德传教，当然不一定要以传教的形式，可以说是一个秘密组织，画一下饼，吸引一下他。当然可能少不了血神的注视",,,,
40879835,1627917149,ScPqgbu,"<font color=""#789922"">&gt;&gt;No.40879315</font><br />
按蛇蛇说的话和咱们醒来的场景，献祭要有场地（不一定要祭坛但要平坦的一块儿地，小广场？）<br />
牺牲要活的或者刚死还没凉透（猎人）<br />
魔力这个没想明白，可能是牺牲里要包含魔力？前面没看太明白，po能不能提示一下是这个世界观是否有的活物里不含魔力，是说人类里的魔力含量比动物大吗？<br />
再就是咱们手里拿的徽章，还有献祭词，这个蛇蛇会告诉我们的问就完了 ",,,,
40880052,1627917429,1gTk6LZ,"<font color=""#789922"">&gt;&gt;No.40879476</font><br />
对的，咱们现在这个故事刚刚开了个头，连新手村都没出还是不要莽为好（现在战力只有自己和法克西）因为咱们始终处于黑暗面，而对手光明女神教对我们的态度很极端，前期一旦暴露必死无疑，所以遇到危险选项的时候没有十足把握就要尽量仔细考虑周全，避免牺牲。血神献祭既然给了一个月期限好好把握就行，咱毕竟有灌铅骰子不太怕关键选项roll不到。<br />
咱们连糖都买不起，更得猥琐发育不是嘛(｀･ω･)",,,,
40880494,1627917980,1gTk6LZ,"<font color=""#789922"">&gt;&gt;No.40879835</font><br />
魔力的话应该是人和人不太一样吧，就开头16个人的质量（剩了好多）和猎人（剩了几块）而言，应该是和生命力，天赋和体质挂钩的，前面也讲过曾有人类学习和使用魔法，说明魔力这个东西应该是人人都有的比较普遍的东西，也应该存在相当大魔力量的个体，一般人的魔力量就应该很普通但还行的程度吧。<br />
po主方便透露一下吗？",,,,
40880769,1627918334,1gTk6LZ,"<font color=""#789922"">&gt;&gt;No.39910340</font><br />
魔力设定<br />
质量堪比普通成年人类，也就是说献不是人的东西凑也是可以的，后面应该会出现眷属或者魔法生物作为祭品的选项吧",,,,
40880845,1627918441,1gTk6LZ,"<font color=""#789922"">&gt;&gt;No.40880494</font><br />
这条无视把我看错了( ﾟ∀。)sorry",,,,
40880954,1627918591,rEEhHvf,我目前想法是发展商业发展商队，暗搓搓的传播资本主义，如果血神足够强，能让光明女神看不出来的话，我们还可以假装皈依光明教会，一来名正言顺的发展势力，二来想办法弄清楚主角的身世,,,,
40881269,1627919034,1gTk6LZ,总之先决定接下来怎么走吧！,,,,
40881416,1627919225,1gTk6LZ,我觉得3然后4，救醒她，忽悠一下，不信就灌铅，最好能在小孩回来之前让她脱离混乱状态然后离开,,,,
40881466,1627919291,1gTk6LZ,"<font color=""#789922"">&gt;&gt;No.40881416</font><br />
再不济咱还有紫药水( ﾟ∀。)忽悠",,,,
40881570,1627919436,1gTk6LZ,"以后咱们在镇子上还是少献祭吧<font color=""#789922"">&gt;&gt;No.40877813</font><br />
蛇蛇都这么说了( ﾟ∀。)",,,,
40885504,1627928169,B9IYW6S,"追平了<br />
<font color=""#789922"">&gt;&gt;No.40843352</font><br />
这里我觉得可以让法克西先把无证商贩吞掉再把咱吞掉，然后吓跑路人再把咱吐出来，能争取到一点时间( ﾟ∀。)现在的状况搞不好也可以试试，不过得改一改，让法克西换俩地方分别吐俩人，再回咱体内<br />
努力伪装成法克西消化不了吐掉的样子吧( ﾟ∀。)<br />
这样贩子死了说不了话，咱解释成侥幸存活这样？",,,,
40885629,1627928609,rEEhHvf,"<font color=""#789922"">&gt;&gt;No.40885504</font><br />
我认为，比起把事情闹大，比如把事情压下来，闹大绝对对我们不利",,,,
40885631,1627928626,rEEhHvf,"<font color=""#789922"">&gt;&gt;No.40885629</font><br />
比如→不如",,,,
40887237,1627946075,1gTk6LZ,"<font color=""#789922"">&gt;&gt;No.40885504</font><br />
可是被法克西吞掉是会压碎骨头的吧，而且法克西作为血神血裔是一条黑色的蛇，纯纯的血神象征最好谁都没有见过他才好，不然后果跟上面说过的一样，直接就跑不下去了",,,,
40887675,1627948587,j9Ho9PU,"<font color=""#789922"">&gt;&gt;No.40879315</font><br />
你话多听你的ᕕ( ᐛ )ᕗ",,,,
40887680,1627948613,j9Ho9PU,(ﾉ)`ω´(ヾ)尽快发展，期待我们能屠城的一天（）,,,,
40889479,1627954475,FKxbfrY,"| ω・´)你们记得决策呀<br />
如何处理气味还没足够附议通过",,,,
40889592,1627954729,FKxbfrY,"既然法克西都那么说了，更何况老太太大概也很难满足祭品需要，还是尽量不要在镇上献祭为好……<br />
艾米尔还在等你给糖吃，老太太总不能放着不管。<br />
还有遗留在巷子里的腥臭味……恐怕得想办法处理一下。<br />
<br />
你寻思<br />
1，处理现场（具体）<br />
2，削噩梦藤<br />
3，带老太太去行会<br />
4，放着老太太不管<br />
5，杀死老太太丢进角落<br />
6，把老太太喂法克西<br />
7，自定义整活<br />
取三次附议",,,,
40889860,1627955337,5MAQJtW,把老太太带出去，在小巷制造一场火灾？,,,,
40889879,1627955375,5MAQJtW,"<font color=""#789922"">&gt;&gt;No.40889860</font><br />
然后带出去之前给老太太喂一点噩梦藤果汁",,,,
40890172,1627956082,U40J5w9,"<font color=""#789922"">&gt;&gt;No.40889879</font>",,,,
40890542,1627956937,1gTk6LZ,烧点草药混淆气味，然后救老太太，告诉她她刚才突然晕倒了，是我们路过救了她，她说什么怪物就说是她做的噩梦，给她点果汁安抚一下，给她传播一点流言什么的,,,,
40893870,1627963066,B9IYW6S,"<font color=""#789922"">&gt;&gt;No.40890542</font><br />
我觉得可以<br />
附议一个",,,,
40893912,1627963148,FKxbfrY,| ω・´),,,,
40895428,1627965740,1gTk6LZ,来人哇|ー` ),,,,
40895473,1627965813,5MAQJtW,"<font color=""#789922"">&gt;&gt;No.40890542</font><br />
fy",,,,
40895498,1627965860,rEEhHvf,"<font color=""#789922"">&gt;&gt;No.40890542</font>",,,,
40895595,1627966007,FKxbfrY,"<font color=""#789922"">&gt;&gt;No.40889879</font><br />
（智力10判定直接通过）<br />
你取出了三捆草药，用火花术点燃，随后丢在了商人留下的毯子上，盖上那些可疑的液体痕迹。<br />
希望烧焦的草药和灰烬会起到效果。<br />
MP-1，当前MP59/60<br />
<br />
接下来，你取出了一根噩梦藤，拿刀片割开，喂老太太一些汁液。<br />
她看起来还有气，但似乎越来越虚弱。<br />
“法克西，帮我把她弄起来？”<br />
蛇人相当尴尬地向你展示他的爪子:“母亲，我怕不小心会切开这块肉……”<br />
啊这……<br />
你试着扶起老太太来，看着清瘦的身子在你胳膊上沉甸甸的。<br />
<br />
你寻思<br />
1，带去行会<br />
2，带出巷子<br />
3，直接喊人帮忙<br />
4，让法克西回到血中<br />
5，喂法克西<br />
6，自定义整活<br />
取三次附议",,,,
